store,description,market,parent,capacity,maxReleaseOrderPerDay,supplyOffsetQuantity,isDefault,status,preferred,type,inventoryAvailableToSell,rollupInventory,longitude,state,country,city,address,postalCode,latitude
3890,Brewdis 3890,JP,3890,30,30,1,N,O,N,S,N,N,,14,JP,Ebina-shi,Marui family Ebina 4F,243-0432,
7671,SQAle #7671,US,7671,20,20,0,N,A,N,S,Y,Y,-98.33773,TX,US,MCALLEN,2200 South 10th Street,78503,26.182171
7233,Brewdis #7233,US,7233,25,125,0,N,A,N,S,Y,Y,,NY,US,NEW YORK,657 3RD AVE,10017-5605,
8126,SQAle#8126,US,8126,30,30,0,N,A,N,S,Y,Y,-118.136052,CA,US,LONG BEACH,5015 E 2nd St,90803,33.761096
7426,Brewdis #7426,US,7426,30,30,0,N,O,N,S,N,N,,PA,US,STATE COLLEGE,2901 E COLLEGE AVE,16801,
8993,SQAle #8993,US,8993,15,15,0,N,A,N,S,Y,Y,,TX,US,BEE CAVES,HWY 71 AT HWY 620,78738,
5355,House of Brews #5355,US,5355,65,30,0,N,A,N,S,N,N,,HI,US,KAHULUI,270 DAIRY RD,96732,
818,Brewdis #818,US,818,60,60,0,N,O,N,S,N,N,,NV,US,LAS VEGAS,3663 LAS VEGAS BLVD S,89109,
7947,Brewdis Brewery #7947,US,7947,35,35,0,N,A,N,S,Y,Y,-76.725576,MD,US,HANOVER,7000 Arundel Mills Circle,21076,39.154125
5401,Brewdis #5401,US,5401,25,25,0,N,O,N,S,N,N,,NY,US,JOHNSON CITY,89 OAKDALE MALL,13790,
5309,House of Brews #5309,US,5309,70,70,3,N,A,N,S,Y,Y,,MA,US,PLYMOUTH,192 COLONY PLACE,2360,
6601,Brewdis #6601,US,6601,50,25,0,N,O,N,S,N,N,,PA,US,CAMP HILL,3518 CAPITAL MALL DRIVE,17011-7215,
3627,Brewdis 3627,JP,3627,10,10,1,N,A,N,S,Y,Y,139.450167,13,JP,Machida-shi,6-9-7,194-8501,35.540167
7940,Brewdis Brewery #7940,US,7940,15,15,0,N,A,N,S,Y,Y,-71.561991,NH,US,TILTON,120 Laconia Road,3276,43.458392
1054,SQAle Brewery #1054,US,1054,15,15,0,N,A,N,S,Y,Y,-119.721381,NV,US,SPARKS,1310 Scheels Drive,89434,39.530108
7154,Brewdis #7154,US,7154,25,75,0,N,A,N,S,Y,Y,,NJ,US,EDGEWATER,25 PROMENADE,7020,
2018,SQAle Brewery #2018,US,2018,15,15,0,N,A,N,S,Y,Y,-83.778183,MI,US,BIRCH RUN,12156 Beyer Road,48415,43.247073
9816,Store #9816,CA,9816,25,25,0,N,A,N,S,Y,Y,-114.07315,AB,CA,CALGARY,6455 McCloud Trail South,T2H 0K8,50.996067
3675,Brewdis 3675,JP,3675,30,30,1,N,O,N,S,N,N,,13,JP,Musashino-shi,Marui Kichijoji hon-kan 2F,180-8552,
1982,SQAle Brewery #1982,US,1982,45,45,0,N,A,N,S,Y,Y,-88.277783,IL,US,AURORA,1650 Premium Outlets Boulevard,60504,41.801092
9184,Brewdis#9184,CA,9822,25,25,2,N,A,N,S,Y,N,-113.515434,AB,CA,EDMONTON,5015 111th Street,T6H4M6,53.487886
6440,House of Brews #6440,US,6440,65,65,3,N,A,N,S,Y,Y,,OH,US,AVON,35852 DETROIT RD,44011,
1103,Brewdis #1103,US,1103,25,125,0,N,A,N,S,N,N,,OK,US,OKLAHOMA CITY,1901 NW EXPRESSWAY ST,73118,
3376,House of Brews#3376,US,3376,45,45,3,N,A,N,S,Y,Y,-97.694317,TX,US,GEORGETOWN,1019 West University Ave,78628,30.631699
7126,Brewdis #7126,US,7126,30,30,0,N,O,N,S,N,N,,NY,US,BROOKLYN,423 86TH STREET,11209,
8451,SQAle #8451,US,8451,15,15,0,N,O,N,S,N,N,,FL,US,TALLAHASSEE,1500 APALACHEE PARKWAY SPACE 2032,32301,
4149,SQAle #4149,US,4149,30,15,0,N,A,N,S,Y,Y,-98.617911,TX,US,SAN ANTONIO,16401 LA CANTERA PARKWAY,78256,29.597488
6253,SQAle Brewery #6253,US,6253,15,15,0,N,A,N,S,Y,Y,-71.115831,NH,US,NORTH CONWAY,Route 16 Main Street,3860,44.022933
6497,House of Brews #6497,US,6497,65,65,3,N,A,N,S,Y,Y,,CA,US,SACRAMENTO,3581 N. FREEWAY BLVD.,95834,
6215,House of Brews#6215,US,6215,65,65,3,N,A,N,S,Y,Y,-105.132472,CO,US,BROOMFIELD,1 W FLATIRON CIRCLE,80021,39.932939
7522,House of Brews#7522,CA,7522,30,30,0,N,A,N,S,Y,Y,-71.299094,QC,CA,QUEBEC,5401 Boulevard des Galeries,G2K1N4,46.831159
5224,House of Brews#5224,US,5224,65,65,3,N,A,N,S,Y,Y,-86.510273,TN,US,MT. JULIET,401 S. MT. JULIET ROAD,37122,36.168729
8330,SQAle #8330,US,8330,25,30,0,N,A,N,S,Y,Y,,MA,US,DEDHAM,950 PROVIDENCE HIGHWAY,2026,
8118,SQAle #8118,US,8118,30,20,0,N,A,N,S,Y,Y,,FL,US,NAPLES,5555 TAMIAMI TRAIL N.,34108,
4813,Brewdis #4813,US,4813,30,150,0,N,A,N,S,Y,Y,,NC,US,CHARLOTTE,8022 Providence Road,28277,
6312,Brewdis #6312,US,6312,25,125,0,N,A,N,S,Y,Y,,FL,US,AVENTURA,19575 Biscayne Blvd.,33180,
4539,House of Brews#4539,CA,4539,30,30,0,N,A,N,S,Y,Y,-75.937758,ON,CA,OTTAWA,8555 Campeau Drive,K2T0K5,45.298196
8287,SQAle #8287,US,8287,20,30,3,N,A,N,S,Y,Y,,OH,US,DUBLIN,5043 TUTTLE CROSSING BLVD,43016-1511,
3366,House of Brews #3366,US,3366,65,65,3,N,A,N,S,Y,Y,,NM,US,LAS CRUCES,2200 E LOHMAN AVE STE 200,88001-8490,
8148,SQAle #8148,US,8148,35,35,0,N,O,N,S,N,N,,KS,US,OVERLAND PARK,11591 West 95th St.,66214,
8166,SQAle #8166,US,8166,20,20,0,N,O,N,S,N,N,-78.748145,NY,US,CHEEKTOWAGA,1 GALLERIA DR,14225,42.925458
672,Brewdis #672,US,672,50,150,0,N,A,N,S,Y,Y,,MO,US,KANSAS CITY,7321 N.W. 86TH TERRACE,64153,
5653,House of Brews#5653,US,5653,65,65,3,N,A,N,S,Y,Y,-112.040116,AZ,US,PHOENIX,1949 E CAMELBACK RD,85016,33.507557
6415,House of Brews#6415,US,6415,45,45,3,N,A,N,S,Y,Y,-93.256848,MN,US,MEDFORD,6750 W. FRONTAGE ROAD,55049,44.156332
9262,Brewdis #9262,US,9262,30,30,0,N,O,N,S,N,N,,KS,US,LEAWOOD,4844 West 119th Street,66209,
3333,House of Brews #3333,US,3333,0,65,3,N,O,N,S,N,N,,MO,US,HAZELWOOD,5555 SAINT LOUIS MILLS BLVD,63042-4428,
9768,Brewdis #9768,US,9768,30,150,0,N,A,N,S,Y,Y,,VA,US,FAIRFAX,11826-U FAIR OAKS MALL,22030,
3182,SQAle #3182,US,3182,35,35,0,N,A,N,S,Y,Y,,CA,US,SAN FRANCISCO,865 MARKET STREET,94103,
7793,Brewdis Brewery #7793,US,7793,35,35,0,N,A,N,S,Y,Y,-78.975889,NY,US,NIAGARA FALLS,1970 Military Road,14304,43.09819
898,Gap898,JP,698,30,30,0,N,O,N,S,N,N,127.795361,47,JP,Nakagamigun,Kitanakagusukuson,901-2300,26.315171
5959,House of Brews #5959,US,5959,45,45,3,N,O,N,S,N,N,,KS,US,SHAWNEE,15310 SHAWNEE MISSION PARKWAY,66217,
3629,Brewdis 3629,JP,3629,88,88,1,N,A,N,S,Y,Y,139.580278,13,JP,Musashino-shi,2-13,180-0004,35.701833
6436,House of Brews #6436,US,6436,65,65,3,N,O,N,S,N,N,,OH,US,CINCINNATI,7800 MONTGOMERY RD,45236,
5137,House of Brews #5137,US,5137,90,90,3,N,A,N,S,Y,Y,,NY,US,NEW YORK,300 W 125TH ST,10027,
1706,Brewdis #1706,US,1706,20,20,0,N,O,N,S,N,N,-123.055153,WA,US,Olympia,625 Black Lake Boulevard,98502,47.104269
8516,SQAle #8516,US,8516,15,15,0,N,O,N,S,N,N,,TX,US,LUBBOCK,8201 Quaker Avenue Suite 130,79424,
6177,House of Brews #6177,US,6177,65,65,3,N,A,N,S,Y,Y,,TX,US,FRISCO,3333 PRESTON RD,75034,
8906,Brewdis #8906,US,8906,30,150,3,N,A,N,S,Y,Y,-80.312648,FL,US,MIAMI,7521 N KENDALL DR,33156,25.688759
6706,House of Brews #6706,US,6706,65,65,3,N,A,N,S,Y,Y,,CO,US,COLORADO SPRINGS,7665 North Academy Boulevard,80920,
2,SQAle #02,CA,2,500,9999999,0,Y,O,Y,W,N,N,,ON,CA,Bolton,13153 Coleraine Drive,L7E 3B6,
8115,SQAle #8115,US,8115,20,20,0,N,A,N,S,Y,Y,-73.799476,NY,US,SCARSDALE,700 WHITEPLAINS RD STE 729,10583,40.992686
6750,SQAle #6750,US,6750,25,20,0,N,A,N,S,Y,Y,,TX,US,PLANO,6121 WEST PARK BLVD Suite #B204,75093,
6366,House of Brews #6366,US,6366,65,65,3,N,A,N,S,Y,Y,,VT,US,WILLISTON,100 Maple Tree Place,5495,
5885,House of Brews #5885,US,5885,65,65,3,N,A,N,S,Y,Y,,NJ,US,DEPTFORD,1557 ALMONESSON RD,8096,
